Incident ID,Date & Time,Type of Crime,Number of Cases,Latitude,Longitude,Neighbourhood,Location
1,2023-11-13 06:22:22,Cybercrime,4,1.3717490314653145,103.84288535661315,Ang Mo Kio,Ang Mo Kio Ave 10
2,2023-07-09 06:22:22,Drug Offense,19,1.3677045033171429,103.84610399033879,Ang Mo Kio,Ang Mo Kio Ave 6
3,2023-07-01 06:22:22,Fraud,2,1.3731835568529351,103.85854762598615,Ang Mo Kio,Ang Mo Kio Ave 3
4,2023-08-12 06:22:22,Fraud,20,1.3728267966533783,103.85156116199923,Ang Mo Kio,Ang Mo Kio Ave 1
5,2023-12-17 06:22:22,Cybercrime,19,1.3731539823807128,103.85831150601184,Ang Mo Kio,Ang Mo Kio Ave 3
6,2023-11-27 06:22:22,Drug Offense,16,1.3649762043599285,103.84283312408455,Ang Mo Kio,Ang Mo Kio Ave 4
7,2023-12-12 06:22:22,Fraud,2,1.3628911143963993,103.84478536201325,Ang Mo Kio,Ang Mo Kio Ave 8
8,2024-05-27 06:22:22,Cybercrime,14,1.3671813238854582,103.84866394218889,Ang Mo Kio,Ang Mo Kio Ave 11
9,2023-08-21 06:22:22,Theft,10,1.3758035125985502,103.84481943972011,Ang Mo Kio,Ang Mo Kio Ave 5
10,2023-12-25 06:22:22,Vandalism,4,1.376681331456427,103.85813230884114,Ang Mo Kio,Ang Mo Kio Ave 4
11,2023-08-01 06:22:22,Murder,8,1.3624248673152843,103.84310546824835,Ang Mo Kio,Ang Mo Kio Ave 2
12,2024-04-17 06:22:22,Murder,10,1.3664757845426585,103.85806050287788,Ang Mo Kio,Ang Mo Kio Ave 1
13,2024-02-16 06:22:22,Domestic Violence,15,1.379618326396802,103.84404928284712,Ang Mo Kio,Ang Mo Kio Ave 10
14,2024-03-05 06:22:22,Domestic Violence,2,1.3693902442793051,103.85366389637959,Ang Mo Kio,Ang Mo Kio Ave 3
15,2024-02-13 06:22:22,Assault,19,1.364664961398109,103.8505124901975,Ang Mo Kio,Ang Mo Kio Ave 8
16,2023-06-13 06:22:22,Drug Offense,15,1.3746281156205136,103.85302325218278,Ang Mo Kio,Ang Mo Kio Ave 1
17,2024-01-06 06:22:22,Theft,11,1.370088777006791,103.85687091946916,Ang Mo Kio,Ang Mo Kio Ave 5
18,2024-03-02 06:22:22,Murder,6,1.379704453682425,103.84863044831539,Ang Mo Kio,Ang Mo Kio Ave 5
19,2023-08-09 06:22:22,Drug Offense,4,1.3703035641115096,103.8485524001066,Ang Mo Kio,Ang Mo Kio Ave 6
20,2023-08-02 06:22:22,Fraud,14,1.3616994243045013,103.84612492457579,Ang Mo Kio,Ang Mo Kio Ave 1
21,2024-02-04 06:22:22,Murder,4,1.3738687104283311,103.85181666825403,Ang Mo Kio,Ang Mo Kio Ave 10
22,2023-07-18 06:22:22,Burglary,3,1.3656389047779613,103.83999383048952,Ang Mo Kio,Ang Mo Kio Ave 3
23,2023-10-29 06:22:22,Vandalism,19,1.3796800302967909,103.84069320371069,Ang Mo Kio,Ang Mo Kio Ave 6
24,2024-01-06 06:22:22,Cybercrime,20,1.3722851037875567,103.84727245607783,Ang Mo Kio,Ang Mo Kio Ave 2
25,2024-05-15 06:22:22,Theft,8,1.3624943845969313,103.85440254629799,Ang Mo Kio,Ang Mo Kio Ave 9
26,2023-09-04 06:22:22,Murder,1,1.3625899198414393,103.85290209100965,Ang Mo Kio,Ang Mo Kio Ave 5
27,2024-02-09 06:22:22,Vandalism,8,1.3798116640535432,103.84926149794889,Ang Mo Kio,Ang Mo Kio Ave 8
28,2023-06-22 06:22:22,Assault,2,1.3671662790623933,103.8499958730171,Ang Mo Kio,Ang Mo Kio Ave 1
29,2023-10-18 06:22:22,Theft,17,1.3653710574144609,103.85761367569246,Ang Mo Kio,Ang Mo Kio Ave 6
30,2023-11-19 06:22:22,Drug Offense,13,1.3723915174787038,103.84673580435565,Ang Mo Kio,Ang Mo Kio Ave 3
31,2023-11-08 06:22:22,Murder,13,1.3657210772077006,103.8534768999108,Ang Mo Kio,Ang Mo Kio Ave 3
32,2023-07-05 06:22:22,Burglary,20,1.3760773180080392,103.83920094011143,Ang Mo Kio,Ang Mo Kio Ave 11
33,2023-12-25 06:22:22,Murder,9,1.3671357773723984,103.84002999717713,Ang Mo Kio,Ang Mo Kio Ave 4
34,2024-05-09 06:22:22,Fraud,2,1.3762158634101789,103.8567885554659,Ang Mo Kio,Ang Mo Kio Ave 1
35,2024-01-17 06:22:22,Drug Offense,11,1.3680130845306642,103.84602319914089,Ang Mo Kio,Ang Mo Kio Ave 1
36,2024-02-14 06:22:22,Assault,3,1.374588846016304,103.8481450323535,Ang Mo Kio,Ang Mo Kio Ave 2
37,2024-05-05 06:22:22,Domestic Violence,13,1.3680142360956715,103.85784869344405,Ang Mo Kio,Ang Mo Kio Ave 6
38,2023-07-28 06:22:22,Theft,11,1.3658750300180702,103.84668514015888,Ang Mo Kio,Ang Mo Kio Ave 10
39,2023-08-30 06:22:22,Murder,3,1.3706025824323673,103.84134197803705,Ang Mo Kio,Ang Mo Kio Ave 9
40,2023-06-14 06:22:22,Theft,12,1.3751383951022635,103.8442757495564,Ang Mo Kio,Ang Mo Kio Ave 5
41,2023-11-30 06:22:22,Fraud,10,1.360386348438478,103.84478348902006,Ang Mo Kio,Ang Mo Kio Ave 1
42,2023-12-04 06:22:22,Burglary,19,1.3713988628843672,103.848030248394,Ang Mo Kio,Ang Mo Kio Ave 10
43,2024-05-10 06:22:22,Theft,15,1.376224367545602,103.85387080578718,Ang Mo Kio,Ang Mo Kio Ave 2
44,2024-01-20 06:22:22,Cybercrime,10,1.3652306692909182,103.84495315171806,Ang Mo Kio,Ang Mo Kio Ave 5
45,2023-12-12 06:22:22,Domestic Violence,13,1.3762019833504786,103.85840463932695,Ang Mo Kio,Ang Mo Kio Ave 6
46,2024-03-03 06:22:22,Fraud,11,1.3647183260496658,103.84369206960204,Ang Mo Kio,Ang Mo Kio Ave 11
47,2024-02-13 06:22:22,Cybercrime,12,1.3753985735924152,103.8425287795779,Ang Mo Kio,Ang Mo Kio Ave 11
48,2023-12-31 06:22:22,Murder,9,1.3651020599877992,103.85176231373401,Ang Mo Kio,Ang Mo Kio Ave 4
49,2023-12-18 06:22:22,Assault,4,1.3785998728369364,103.85186341198136,Ang Mo Kio,Ang Mo Kio Ave 5
50,2023-08-24 06:22:22,Burglary,17,1.3619488869643646,103.8585529546669,Ang Mo Kio,Ang Mo Kio Ave 5
51,2024-02-18 06:22:22,Burglary,1,1.3635937688125486,103.84955027809954,Ang Mo Kio,Ang Mo Kio Ave 1
52,2023-12-02 06:22:22,Burglary,8,1.3714178331532971,103.84227104550224,Ang Mo Kio,Ang Mo Kio Ave 9
53,2024-01-14 06:22:22,Domestic Violence,17,1.3640700086436817,103.84232276766399,Ang Mo Kio,Ang Mo Kio Ave 10
54,2024-01-05 06:22:22,Drug Offense,19,1.3713237478815306,103.84924192498768,Ang Mo Kio,Ang Mo Kio Ave 6
55,2023-11-24 06:22:22,Vandalism,7,1.3765370444402223,103.84661873209456,Ang Mo Kio,Ang Mo Kio Ave 5
56,2023-08-18 06:22:22,Vandalism,8,1.3616235295445474,103.85094755923487,Ang Mo Kio,Ang Mo Kio Ave 3
57,2023-11-27 06:22:22,Murder,14,1.3716788293435032,103.84191403023885,Ang Mo Kio,Ang Mo Kio Ave 4
58,2023-12-07 06:22:22,Murder,9,1.363945616085952,103.84600591631568,Ang Mo Kio,Ang Mo Kio Ave 6
59,2023-06-21 06:22:22,Fraud,8,1.3682588751735294,103.85840607093652,Ang Mo Kio,Ang Mo Kio Ave 6
60,2023-11-10 06:22:22,Vandalism,3,1.362343415368716,103.85032415867633,Ang Mo Kio,Ang Mo Kio Ave 1
61,2023-11-22 06:22:22,Domestic Violence,14,1.3703962596612111,103.84847589860726,Ang Mo Kio,Ang Mo Kio Ave 1
62,2024-01-13 06:22:22,Assault,11,1.370542223115086,103.84868020557818,Ang Mo Kio,Ang Mo Kio Ave 10
63,2023-08-01 06:22:22,Assault,3,1.3714580380859547,103.84151016276579,Ang Mo Kio,Ang Mo Kio Ave 11
64,2024-01-04 06:22:22,Cybercrime,19,1.3642323623249233,103.84441692637826,Ang Mo Kio,Ang Mo Kio Ave 11
65,2024-05-26 06:22:22,Theft,11,1.3741043819848309,103.8448336469699,Ang Mo Kio,Ang Mo Kio Ave 3
66,2023-07-19 06:22:22,Drug Offense,15,1.3698377900524505,103.84908309687633,Ang Mo Kio,Ang Mo Kio Ave 3
67,2024-03-18 06:22:22,Domestic Violence,19,1.3675478364033296,103.85532913722933,Ang Mo Kio,Ang Mo Kio Ave 8
68,2023-11-07 06:22:22,Assault,18,1.3768469754080592,103.84550154469653,Ang Mo Kio,Ang Mo Kio Ave 6
69,2024-02-01 06:22:22,Cybercrime,19,1.3612959687650512,103.85119167974752,Ang Mo Kio,Ang Mo Kio Ave 8
70,2023-11-29 06:22:22,Cybercrime,16,1.3649020724665992,103.8547837408961,Ang Mo Kio,Ang Mo Kio Ave 10
71,2023-12-27 06:22:22,Fraud,4,1.3616148819065559,103.84512776091293,Ang Mo Kio,Ang Mo Kio Ave 8
72,2023-07-08 06:22:22,Cybercrime,1,1.3680728061767915,103.85895747433827,Ang Mo Kio,Ang Mo Kio Ave 3
73,2024-02-21 06:22:22,Burglary,3,1.3761871340863763,103.8451720383303,Ang Mo Kio,Ang Mo Kio Ave 9
74,2024-04-09 06:22:22,Domestic Violence,12,1.3734023024603252,103.84677813040174,Ang Mo Kio,Ang Mo Kio Ave 2
75,2023-07-28 06:22:22,Vandalism,2,1.3682437287004798,103.85000828281073,Ang Mo Kio,Ang Mo Kio Ave 4
76,2023-12-21 06:22:22,Vandalism,19,1.3743466510545312,103.85524363482173,Ang Mo Kio,Ang Mo Kio Ave 4
77,2024-01-29 06:22:22,Assault,10,1.363493294410645,103.84014796104805,Ang Mo Kio,Ang Mo Kio Ave 8
78,2023-09-14 06:22:22,Vandalism,19,1.3622121217374672,103.84334180190692,Ang Mo Kio,Ang Mo Kio Ave 3
79,2024-01-10 06:22:22,Theft,17,1.3730887812893047,103.83936188360619,Ang Mo Kio,Ang Mo Kio Ave 8
80,2024-02-21 06:22:22,Cybercrime,12,1.3605077184185708,103.85337065339107,Ang Mo Kio,Ang Mo Kio Ave 10
81,2023-11-03 06:22:22,Fraud,11,1.3745063218716538,103.84821981318159,Ang Mo Kio,Ang Mo Kio Ave 9
82,2023-11-27 06:22:22,Vandalism,4,1.3694449106529178,103.83920141309862,Ang Mo Kio,Ang Mo Kio Ave 3
83,2023-11-04 06:22:22,Assault,1,1.3724728535708075,103.84926356815639,Ang Mo Kio,Ang Mo Kio Ave 9
84,2024-03-30 06:22:22,Fraud,3,1.3695911977099524,103.85010724212934,Ang Mo Kio,Ang Mo Kio Ave 8
85,2023-10-16 06:22:22,Cybercrime,6,1.3778595207141608,103.84621883161526,Ang Mo Kio,Ang Mo Kio Ave 2
86,2024-05-17 06:22:22,Burglary,6,1.3737130389146441,103.84979966909671,Ang Mo Kio,Ang Mo Kio Ave 2
87,2024-05-08 06:22:22,Domestic Violence,9,1.3648911317446453,103.84624072913812,Ang Mo Kio,Ang Mo Kio Ave 10
88,2024-03-01 06:22:22,Assault,14,1.3624770123648133,103.8575846856895,Ang Mo Kio,Ang Mo Kio Ave 4
89,2023-06-21 06:22:22,Drug Offense,4,1.3632324292103544,103.8522427282658,Ang Mo Kio,Ang Mo Kio Ave 6
90,2024-03-27 06:22:22,Murder,8,1.364122490762557,103.84430285881155,Ang Mo Kio,Ang Mo Kio Ave 10
91,2024-05-07 06:22:22,Burglary,1,1.3737359811557688,103.85688956419312,Ang Mo Kio,Ang Mo Kio Ave 1
92,2024-04-19 06:22:22,Assault,1,1.375958541839009,103.85128161747765,Ang Mo Kio,Ang Mo Kio Ave 11
93,2023-08-23 06:22:22,Fraud,9,1.3736300915929884,103.85763943064131,Ang Mo Kio,Ang Mo Kio Ave 8
94,2024-04-10 06:22:22,Murder,11,1.3641293378961483,103.85796277819968,Ang Mo Kio,Ang Mo Kio Ave 2
95,2023-11-08 06:22:22,Domestic Violence,14,1.3652582143261756,103.84941287326122,Ang Mo Kio,Ang Mo Kio Ave 11
96,2024-01-08 06:22:22,Fraud,15,1.3713952557252633,103.84483758297401,Ang Mo Kio,Ang Mo Kio Ave 6
97,2023-08-24 06:22:22,Cybercrime,4,1.3625355117532085,103.85584593443362,Ang Mo Kio,Ang Mo Kio Ave 2
98,2024-04-15 06:22:22,Burglary,10,1.3666822665353853,103.85847690595214,Ang Mo Kio,Ang Mo Kio Ave 9
99,2023-11-14 06:22:22,Drug Offense,16,1.3757388267766992,103.85039161791077,Ang Mo Kio,Ang Mo Kio Ave 10
100,2023-11-02 06:22:22,Burglary,13,1.3614317569549548,103.85452592679934,Ang Mo Kio,Ang Mo Kio Ave 3
