Incident ID,Date & Time,Type of Crime,Number of Cases,Latitude,Longitude,Neighbourhood,Location
1,2023-06-01 12:34:56,Theft,14,1.349876,103.762345,Clementi,Clementi Ave 1
2,2023-07-22 09:12:34,Vandalism,5,1.315678,103.752345,Clementi,Clementi Ave 2
3,2023-05-19 14:56:23,Assault,8,1.333456,103.764567,Clementi,Clementi Ave 3
4,2023-09-03 08:23:45,Drug Offense,19,1.327890,103.756789,Clementi,Clementi Ave 4
5,2023-03-12 16:34:12,Burglary,6,1.343456,103.753456,Clementi,Clementi Ave 5
6,2023-11-11 21:45:23,Cybercrime,12,1.319876,103.761234,Clementi,Clementi Rd
7,2023-02-15 04:23:54,Domestic Violence,7,1.328765,103.769876,Clementi,Clementi West St
8,2023-10-10 11:12:33,Fraud,11,1.312345,103.755678,Clementi,Clementi St
9,2023-04-25 19:45:12,Murder,3,1.337890,103.754567,Clementi,Clementi Ave 1
10,2023-06-16 23:34:45,Theft,18,1.320987,103.763456,Clementi,Clementi Ave 2
11,2023-08-09 07:12:34,Vandalism,4,1.310123,103.750987,Clementi,Clementi Ave 3
12,2023-01-22 12:45:23,Assault,6,1.314567,103.759876,Clementi,Clementi Ave 4
13,2023-07-30 13:34:12,Drug Offense,9,1.327890,103.760987,Clementi,Clementi Ave 5
14,2023-11-20 20:45:23,Burglary,5,1.334567,103.751234,Clementi,Clementi Rd
15,2023-12-01 03:23:54,Cybercrime,8,1.312345,103.768765,Clementi,Clementi West St
16,2023-03-10 14:12:33,Domestic Violence,10,1.319876,103.765678,Clementi,Clementi St
17,2023-05-15 09:45:12,Fraud,12,1.320987,103.753456,Clementi,Clementi Ave 1
18,2023-02-28 22:34:45,Murder,2,1.337890,103.762345,Clementi,Clementi Ave 2
19,2023-04-19 11:12:34,Theft,13,1.328765,103.754567,Clementi,Clementi Ave 3
20,2023-08-21 17:45:23,Vandalism,7,1.310123,103.763456,Clementi,Clementi Ave 4
21,2023-06-28 23:34:12,Assault,9,1.320987,103.750987,Clementi,Clementi Ave 5
22,2023-12-11 14:45:23,Drug Offense,5,1.314567,103.759876,Clementi,Clementi Rd
23,2023-09-14 02:23:54,Burglary,7,1.327890,103.760987,Clementi,Clementi West St
24,2023-01-06 16:12:33,Cybercrime,15,1.319876,103.751234,Clementi,Clementi St
25,2023-10-02 11:45:12,Domestic Violence,6,1.312345,103.768765,Clementi,Clementi Ave 1
26,2023-03-18 20:34:45,Fraud,9,1.328765,103.765678,Clementi,Clementi Ave 2
